theme,url,img,lines
ACHIEVEMENT,https://inspirational-quotes/5472-it-doesnt-matter-who-you-are-or-where-you-come,https://assets.passiton.com/quotes/quote_artwork/5472/medium/20221129_tuesday_quote.jpg,It doesn't matter who you are or where you come from. The ability to triumph begins with you.
ACHIEVEMENT,https://inspirational-quotes/3970-to-achieve-the-impossible-it-is-precisely-the,https://assets.passiton.com/quotes/quote_artwork/3970/medium/20221128_monday_quote.jpg,"To achieve the impossible, it is precisely the unthinkable that must be thought."
GRATITUDE,https://inspirational-quotes/8367-the-more-grateful-i-am-the-more-beauty-i-see,https://assets.passiton.com/quotes/quote_artwork/8367/medium/20221125_friday_quote.jpg,"The more grateful I am, the more beauty I see."
GRATITUDE,https://inspirational-quotes/7426-as-we-express-our-gratitude-we-must-never,https://assets.passiton.com/quotes/quote_artwork/7426/medium/20221124_thursday_quote.jpg,"As we express our gratitude, we must never forget that the highest appreciation is not to utter words, but to live by them."
GRATITUDE,https://inspirational-quotes/4036-at-times-our-own-light-goes-out-and-is,https://assets.passiton.com/quotes/quote_artwork/4036/medium/20221123_wednesday_quote.jpg,At times our own light goes out and is rekindled by a spark from another person. Each of us has cause to think with deep gratitude of those who have lit the flame within us.
GRATITUDE,https://inspirational-quotes/3227-in-our-daily-lives-we-must-see-that-it-is-not,https://assets.passiton.com/quotes/quote_artwork/3227/medium/20221122_tuesday_quote.jpg,"In our daily lives, we must see that it is not happiness that makes us grateful, but the gratefulness that makes us happy."
GRATITUDE,https://inspirational-quotes/8160-gratitude-unlocks-the-fullness-of-life-it,https://assets.passiton.com/quotes/quote_artwork/8160/medium/20221121_monday_quote.jpg,"Gratitude unlocks the fullness of life. It turns what we have into enough, and more."
CHARITY,https://inspirational-quotes/6179-work-and-live-to-serve-others-leave-the-world,https://assets.passiton.com/quotes/quote_artwork/6179/medium/20221118_friday_quote.jpg,"Work and live to serve others, leave the world a little better than you found it."
CHARITY,https://inspirational-quotes/7565-generosity-consists-not-the-sum-given-but-the,https://assets.passiton.com/quotes/quote_artwork/7565/medium/20221117_thursday_quote.jpg,"Generosity consists not the sum given, but the manner in which it is bestowed."
CHARITY,https://inspirational-quotes/7256-charity-and-love-are-the-same-with-charity-you,https://assets.passiton.com/quotes/quote_artwork/7256/medium/20221116_wednesday_quote.jpg,"Charity and love are the same—with charity you give love, so don't just give money but reach out your hand instead."
CHARITY,https://inspirational-quotes/3103-in-necessary-things-unity-in-disputed-things,https://assets.passiton.com/quotes/quote_artwork/3103/medium/20221115_tuesday_quote.jpg,"In necessary things, unity; in disputed things, liberty; in all things, charity."
